FID,feat_code,shape_area,shape_leng,source_id,status,sub_code,centroid_x,centroid_y
0,5000.000000000000000,32676.073684700000740,778.318835764000028,21500000001.000000000000000,Unchanged,500000.000000000000000,-73.979160062000005,40.690211315600003
1,5000.000000000000000,108080.622252000001026,3737.772791129999860,21500000002.000000000000000,Updated,500000.000000000000000,-73.980236195800003,40.692645379900000
2,5000.000000000000000,5407.860485799999879,442.772495475000028,21500000003.000000000000000,Unchanged,500000.000000000000000,-73.983419317799999,40.702747522700001
3,5000.000000000000000,4027.729151410000213,284.623893318000000,21500000004.000000000000000,Unchanged,500000.000000000000000,-73.982039740999994,40.703069729299997
4,5000.000000000000000,122903.007234999997308,1567.687418649999927,21500000005.000000000000000,Unchanged,500000.000000000000000,-73.985702032700004,40.701960512100001
5,5000.000000000000000,7053.567730679999841,352.847577009000020,21500000006.000000000000000,Unchanged,500000.000000000000000,-73.983795563100003,40.702816777599999
6,5000.000000000000000,3047.325676460000068,251.875625778000000,21500000007.000000000000000,Unchanged,500000.000000000000000,-73.982337233400003,40.703057240400000
7,5000.000000000000000,5047.361589940000158,305.792849687999990,21500000008.000000000000000,Unchanged,500000.000000000000000,-73.981703912300006,40.703103479900001
8,5000.000000000000000,6117.904526899999837,340.999702720000016,21500000009.000000000000000,Unchanged,500000.000000000000000,-73.979176848199998,40.689413412400000
9,5000.000000000000000,16829.353370500000892,831.199267235999969,21500000010.000000000000000,Unchanged,500000.000000000000000,-73.985378768800004,40.701079571699999
10,5000.000000000000000,10847.318371699999261,682.293279717000019,21500000011.000000000000000,Unchanged,500000.000000000000000,-73.992010314300003,40.701297185999998
11,5000.000000000000000,56294.981375199997274,1660.783672170000045,21500000012.000000000000000,Updated,500000.000000000000000,-73.987754965500002,40.698776862800003
12,5000.000000000000000,10926.919056099999580,446.864100056999973,21500000013.000000000000000,Unchanged,500000.000000000000000,-73.988073883499993,40.699749950499999
13,5000.000000000000000,20780.022713700000168,659.018113257999971,21500000014.000000000000000,Unchanged,500000.000000000000000,-73.986608673299997,40.697952413300001
14,5000.000000000000000,22747.468471899999713,965.312969260000045,21500000019.000000000000000,Updated,500000.000000000000000,-73.988063019199998,40.689440712900002
15,5000.000000000000000,5127.255251960000351,322.778008080999996,21500000020.000000000000000,Unchanged,500000.000000000000000,-73.993826835299998,40.689558832300001
16,5000.000000000000000,5156.530048560000068,323.446187072999976,21500000021.000000000000000,Unchanged,500000.000000000000000,-73.993993400099995,40.689603550400001
17,5000.000000000000000,14074.229504900000393,569.597655157999952,21500000022.000000000000000,Updated,500000.000000000000000,-73.987851901400006,40.690062920300001
18,5000.000000000000000,11219.770964800000002,441.389939847999983,21500000023.000000000000000,Unchanged,500000.000000000000000,-73.983730839200007,40.691088534199999
19,5000.000000000000000,40195.061821499999496,1979.258158150000099,21500000015.000000000000000,Updated,500000.000000000000000,-73.987847330700006,40.697537606600001
20,5000.000000000000000,29405.131359899998643,728.964075625999953,21500000016.000000000000000,Updated,500000.000000000000000,-73.980996745200002,40.698697295599999
21,5000.000000000000000,6343.311123690000386,368.436607252999977,21500000017.000000000000000,Unchanged,500000.000000000000000,-73.993339764300003,40.689001458400000
22,5000.000000000000000,21423.783265099998971,812.632464332000040,21500000018.000000000000000,Updated,500000.000000000000000,-73.986756907000000,40.689003290099997
23,5000.000000000000000,4315.491673450000235,276.335679111999980,19500001865.000000000000000,New,500000.000000000000000,-74.024652798399998,40.646773047600000
24,5000.000000000000000,5867.953412720000415,355.345967975999997,21500000025.000000000000000,Unchanged,500000.000000000000000,-73.983133754600004,40.692577856299998
25,5000.000000000000000,6787.872639240000353,355.282820044000005,21500000027.000000000000000,Unchanged,500000.000000000000000,-73.983494245900005,40.695308816999997
26,5000.000000000000000,3487.684860400000161,332.467363831999990,21500000028.000000000000000,Unchanged,500000.000000000000000,-73.987429026800001,40.696892289200001
27,5000.000000000000000,5134.599249210000380,378.355507253999974,21500000029.000000000000000,Unchanged,500000.000000000000000,-73.985324190200004,40.697009628000004
28,5000.000000000000000,102414.900179999996908,1513.944518519999974,21500000030.000000000000000,Updated,500000.000000000000000,-73.990601706000007,40.701229670600000
29,5000.000000000000000,52553.964098900003592,1043.273594100000082,21500000031.000000000000000,Unchanged,500000.000000000000000,-73.990837147099995,40.702198745799997
30,5000.000000000000000,9209.047339139999167,519.816486147999967,21500000032.000000000000000,Unchanged,500000.000000000000000,-73.989507352700002,40.704228013200002
31,5000.000000000000000,7513.101496719999886,369.229226906000008,21500000033.000000000000000,Updated,500000.000000000000000,-73.990226921399994,40.688746363299998
32,5000.000000000000000,16891.792867600001046,628.438612800999977,21500000034.000000000000000,Unchanged,500000.000000000000000,-73.990529254999998,40.690937460599997
33,5000.000000000000000,4563.336367150000115,314.355045669999981,21500000035.000000000000000,Unchanged,500000.000000000000000,-73.996934046099994,40.692419115600003
34,5000.000000000000000,5659.402427279999756,357.115733845000022,21500000036.000000000000000,Unchanged,500000.000000000000000,-73.991516052899996,40.699830761900003
35,5000.000000000000000,10197.890658199999962,623.805036826999981,21500000037.000000000000000,Updated,500000.000000000000000,-73.989347749999993,40.689235275300000
36,5000.000000000000000,5877.182374469999559,379.526042458999996,21500000038.000000000000000,Updated,500000.000000000000000,-73.984284994000006,40.700086093499998
37,5000.000000000000000,7103.011653030000161,459.291842325000005,21500000039.000000000000000,Unchanged,500000.000000000000000,-73.982195685600004,40.698065297200003
38,5000.000000000000000,16064.712806699999419,557.284791304000009,21500000040.000000000000000,Unchanged,500000.000000000000000,-73.982013522499997,40.696596836399998
39,5000.000000000000000,6894.205191719999675,366.183637377000025,21500000041.000000000000000,Unchanged,500000.000000000000000,-73.981984115399996,40.696340519000003
40,5000.000000000000000,11996.042263400000593,629.286500445999991,21500000042.000000000000000,Unchanged,500000.000000000000000,-73.989447992600006,40.692737038700002
41,5000.000000000000000,6766.047196229999827,548.091532251999979,21500000043.000000000000000,Updated,500000.000000000000000,-73.993513716099997,40.695662545799998
42,5000.000000000000000,11329.063490700000330,571.969166716000018,21500000044.000000000000000,Unchanged,500000.000000000000000,-73.989329200300006,40.699313813000003
43,5000.000000000000000,5268.951140209999721,330.752227505000008,21500000045.000000000000000,Updated,500000.000000000000000,-73.992082781600004,40.700341250100003
44,5000.000000000000000,5270.246285680000256,324.465819779000014,21500000047.000000000000000,Unchanged,500000.000000000000000,-73.987980339200007,40.690938952700002
45,5000.000000000000000,4736.005949639999926,321.445020150999994,21500000048.000000000000000,Unchanged,500000.000000000000000,-73.994214403000001,40.702323788800001
46,5000.000000000000000,4068.415298800000073,314.125637224999991,21500000049.000000000000000,Unchanged,500000.000000000000000,-73.994482029099998,40.702681879799997
47,5000.000000000000000,10932.791892799999914,518.524886250000009,21500000068.000000000000000,Unchanged,500000.000000000000000,-73.988958905900006,40.712365482499997
48,5000.000000000000000,8118.633094589999928,408.541874161000010,21500000050.000000000000000,Unchanged,500000.000000000000000,-73.995322908099993,40.702594363300001
49,5000.000000000000000,8750.545786349999617,391.898744455999974,21500000051.000000000000000,Unchanged,500000.000000000000000,-73.980124910000001,40.699985506899999
50,5000.000000000000000,4882.379742889999761,336.841888885999992,21500000052.000000000000000,Unchanged,500000.000000000000000,-73.987829271799995,40.699057648000000
51,5000.000000000000000,5421.730951290000121,333.257376113000021,21500000053.000000000000000,Unchanged,500000.000000000000000,-73.986710412400001,40.697525866100001
52,5000.000000000000000,7474.328984499999933,415.550172477999979,21500000054.000000000000000,Unchanged,500000.000000000000000,-73.982622740699995,40.695373054999997
53,5000.000000000000000,4384.977209290000246,296.317197697999973,21500000055.000000000000000,Unchanged,500000.000000000000000,-73.983723705800003,40.690874059599999
54,5000.000000000000000,9048.764138520000415,389.836137882000003,21500000057.000000000000000,Updated,500000.000000000000000,-73.989538737199993,40.699832203900002
55,5000.000000000000000,19120.090146599999571,987.205751986999985,21500000058.000000000000000,Updated,500000.000000000000000,-73.989238065999999,40.699850321800000
56,5000.000000000000000,13025.709941600000093,658.769549942000026,21500000059.000000000000000,Unchanged,500000.000000000000000,-73.988558438100000,40.699883738600001
57,5000.000000000000000,6163.454569120000087,515.707825532000015,21500000069.000000000000000,Unchanged,500000.000000000000000,-73.993043814900005,40.712122693100000
58,5000.000000000000000,32010.385429499998281,816.470028018999983,21500000060.000000000000000,Updated,500000.000000000000000,-73.980524811500004,40.693224451699997
59,5000.000000000000000,17117.745783599999413,572.092326887000013,21500000061.000000000000000,Unchanged,500000.000000000000000,-73.979841422299998,40.696339551700000
60,5000.000000000000000,20943.645438100000320,663.301275264999958,21500000062.000000000000000,Unchanged,500000.000000000000000,-73.978859327400002,40.696311062299998
61,5000.000000000000000,8190.747599010000158,403.699787566999987,21500000063.000000000000000,Unchanged,500000.000000000000000,-73.995960816899995,40.711963849000000
62,5000.000000000000000,45354.736557399999583,1699.492643080000107,21500000064.000000000000000,Updated,500000.000000000000000,-73.988980583499995,40.710558614200004
63,5000.000000000000000,32482.955628799998522,855.399748403999979,21500000065.000000000000000,Unchanged,500000.000000000000000,-73.991295123200004,40.710740970099998
64,5000.000000000000000,4825.505464830000165,310.935531358999981,21500000066.000000000000000,Unchanged,500000.000000000000000,-73.988840744399994,40.711566171900003
65,5000.000000000000000,29855.304058099998656,1566.684169399999973,21500000067.000000000000000,Updated,500000.000000000000000,-73.991316382999997,40.711481328100000
66,5000.000000000000000,14506.078288500000781,807.622600536000050,21500000070.000000000000000,Updated,500000.000000000000000,-73.996244614299997,40.715158430899997
67,5000.000000000000000,4396.096006689999740,431.017735422999976,21500000071.000000000000000,Unchanged,500000.000000000000000,-73.996912940399994,40.710160549100003
68,5000.000000000000000,10091.242515100000674,846.363598700000011,21500000072.000000000000000,Unchanged,500000.000000000000000,-73.995192077200002,40.714614002899999
